IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,30.43,,,24.6,,37.51,30.4 [24.6-37.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,34.15,,,27.84,,41.88,34.2 [27.8-41.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2024,true,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,37.63,,,30.61,,46.33,37.6 [30.6-46.3],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,30.94,,,25.66,,37.25,30.9 [25.7-37.3],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,34.7,,,28.98,,41.57,34.7 [29.0-41.6],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2023,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.25,,,31.85,,45.98,38.3 [31.8-46.0],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,31.63,,,26.88,,37.39,31.6 [26.9-37.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,35.48,,,30.35,,41.55,35.5 [30.4-41.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,39.09,,,33.3,,46.07,39.1 [33.3-46.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,32.18,,,27.91,,37.35,32.2 [27.9-37.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.04,,,31.51,,41.47,36.0 [31.5-41.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2021,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,39.75,,,34.55,,45.93,39.7 [34.5-45.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,32.59,,,28.78,,37.27,32.6 [28.8-37.3],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.54,,,32.42,,41.43,36.5 [32.4-41.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.26,,,35.61,,45.79,40.3 [35.6-45.8],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,33,,,29.41,,37.25,33.0 [29.4-37.3],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.95,,,33.21,,41.43,37.0 [33.2-41.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2019,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.7,,,36.44,,45.82,40.7 [36.4-45.8],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,33.49,,,30.04,,37.55,33.5 [30.0-37.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,37.48,,,33.92,,41.7,37.5 [33.9-41.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2018,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,41.3,,,37.19,,46.14,41.3 [37.2-46.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,34.15,,,30.78,,38.13,34.2 [30.8-38.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.24,,,34.71,,42.37,38.2 [34.7-42.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2017,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.15,,,38.06,,46.92,42.2 [38.1-46.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,34.35,,,30.97,,38.2,34.3 [31.0-38.2],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.44,,,34.95,,42.5,38.4 [35.0-42.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.33,,,38.36,,47.01,42.3 [38.4-47.0],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,34.75,,,31.35,,38.59,34.8 [31.4-38.6],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.94,,,35.46,,42.91,38.9 [35.5-42.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2015,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.91,,,38.9,,47.5,42.9 [38.9-47.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,35.68,,,32.28,,39.47,35.7 [32.3-39.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.01,,,36.48,,44.02,40.0 [36.5-44.0],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2014,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,44.13,,,40.03,,48.69,44.1 [40.0-48.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.29,,,32.88,,40.07,36.3 [32.9-40.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.69,,,37.15,,44.73,40.7 [37.2-44.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2013,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,44.91,,,40.84,,49.45,44.9 [40.8-49.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.65,,,33.31,,40.37,36.6 [33.3-40.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,41.13,,,37.62,,45.05,41.1 [37.6-45.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2012,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.4,,,41.35,,49.87,45.4 [41.4-49.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.49,,,33.19,,40.07,36.5 [33.2-40.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.99,,,37.52,,44.77,41.0 [37.5-44.8],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2011,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.23,,,41.26,,49.55,45.2 [41.3-49.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.93,,,33.6,,40.53,36.9 [33.6-40.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,41.5,,,38.02,,45.25,41.5 [38.0-45.2],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2010,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.83,,,41.79,,50.08,45.8 [41.8-50.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,37.45,,,34.07,,41.08,37.5 [34.1-41.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.1,,,38.55,,45.88,42.1 [38.5-45.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2009,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,46.52,,,42.42,,50.86,46.5 [42.4-50.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,37.97,,,34.53,,41.65,38.0 [34.5-41.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.59,,,38.96,,46.41,42.6 [39.0-46.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2008,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,47.03,,,42.81,,51.5,47.0 [42.8-51.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.17,,,36.5,,44.05,40.2 [36.5-44.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.01,,,41.15,,49.02,45.0 [41.2-49.0],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2007,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.63,,,45.18,,54.23,49.6 [45.2-54.2],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.02,,,38.28,,45.98,42.0 [38.3-46.0],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,47.02,,,43.01,,51.11,47.0 [43.0-51.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2006,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,51.75,,,47.22,,56.45,51.7 [47.2-56.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,44.35,,,40.52,,48.47,44.3 [40.5-48.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.53,,,45.49,,53.73,49.5 [45.5-53.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2005,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,54.4,,,49.8,,59.25,54.4 [49.8-59.2],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,47.22,,,43.3,,51.43,47.2 [43.3-51.4],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,52.63,,,48.5,,56.89,52.6 [48.5-56.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2004,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,57.69,,,53.06,,62.62,57.7 [53.1-62.6],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2003,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.93,,,45.96,,54.21,49.9 [46.0-54.2],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2003,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,55.51,,,51.34,,59.8,55.5 [51.3-59.8],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2003,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,60.75,,,56,,65.72,60.8 [56.0-65.7],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2002,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,52.62,,,48.55,,57.06,52.6 [48.6-57.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2002,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,58.35,,,54.09,,62.78,58.3 [54.1-62.8],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2002,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,63.76,,,58.91,,68.89,63.8 [58.9-68.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2001,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,55.33,,,51.06,,59.87,55.3 [51.1-59.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2001,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,61.16,,,56.81,,65.85,61.2 [56.8-65.9],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2001,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,66.7,,,61.69,,72.12,66.7 [61.7-72.1],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2000,false,Sex,Female,SEX_FMLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,57.78,,,53.48,,62.52,57.8 [53.5-62.5],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,63.73,,,59.24,,68.65,63.7 [59.2-68.6],,,EN,2026-08-03T21:00:00.000Z
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,KEN,Kenya,Year,2000,false,Sex,Male,SEX_MLE,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,69.38,,,64.17,,74.99,69.4 [64.2-75.0],,,EN,2026-08-03T21:00:00.000Z
